source_id ra dec x y gmag
1362873627888179840 266.2651825813406 47.62075015387366 977.0914908114376 1059.912796979193 11.779063
1362874594256971520 266.3080131572972 47.65916990199935 975.0806952584232 1051.6631247889197 14.637479
1362874693040068352 266.23493195229526 47.64846051503408 982.3121734273964 1056.976058879125 10.492124
1362881294404832896 266.41627582209964 47.74669200647167 969.3607481013623 1032.3304258433056 15.321078
1362866274904165376 266.01572134591214 47.7088632880583 1010.3819833501427 1058.067423002371 13.71255
1362865484630184832 265.9956126608288 47.67702673898587 1010.385538648495 1064.1394271000486 12.387612
1362866347919976960 266.0017136200638 47.70834350791559 1011.872626911949 1058.8341736223986 13.221705
1362875418890715904 266.41614515024423 47.74689473125699 969.3890916550752 1032.304507896892 14.441935
1362866141761512192 265.9626749656385 47.67697677805164 1013.9733291701435 1065.7536551352123 16.320406
1362866073042034944 265.9162079318379 47.692145143352825 1020.0792394484832 1065.5905573394216 15.598398
1362874456818008960 266.27450745656387 47.6394750179235 977.3711334475131 1056.4619628398448 16.426868
1362874422458263936 266.23729489248063 47.62100136829982 980.1534975237556 1061.2466018574326 15.746293
1362875040933585024 266.3938858577268 47.69596658236281 968.2712279200002 1041.5416672228093 12.397215
1362865282768087808 265.93788559527707 47.64153494879794 1014.2450593135022 1072.6285958569422 15.506618
1362865695084909440 265.8995170645042 47.641801399923416 1018.4493370451646 1074.453600254348 16.162733
1362873838342725376 266.36233403258285 47.62260608562576 966.6134477355254 1054.8194038251738 16.040144
1362873872702460672 266.33424940204475 47.622511889385265 969.673174551168 1056.222852321002 16.212524
1362875109653238144 266.37889362249126 47.69348840774827 969.73350243673 1042.6792173607043 14.932813
1362865179688838016 266.01660552189776 47.65254834058517 1006.4135413189927 1067.0281697826285 15.596354
1362866210480989568 265.95445984481586 47.68771275205108 1015.6057900056346 1064.437159779437 16.34302
1362866313560206464 265.9864585515427 47.69938630520273 1012.9196001628474 1061.0106692461359 13.197897
