cadence camera chip mean_x mean_y median_x median_y, average_x, average_y
000826 3 3 1.229128363393971 1.06151822138853 1.2320863495694994 1.0473258765475748 1.229128363393971 1.06151822138853
003826 3 3 1.229128363393971 1.06151822138853 1.2320863495694994 1.0473258765475748 1.229128363393971 1.06151822138853
010826 3 3 1.2288187637352888 1.0616451012991774 1.2307730051090857 1.047061212088579 1.2288187637352888 1.0616451012991774
013826 3 3 1.228954788452624 1.061948341130226 1.231563931095934 1.047042375492424 1.228954788452624 1.061948341130226
020826 3 3 1.229102793980808 1.0618016745684946 1.2315997856835565 1.0461193186757782 1.229102793980808 1.0618016745684946
023826 3 3 1.2285684783749489 1.057986098207005 1.2312062726632576 1.0372083891149941 1.2285684783749489 1.057986098207005
030826 3 3 1.2291680514914627 1.061665506744228 1.231051293242217 1.0471738086097275 1.2291680514914627 1.061665506744228
033826 3 3 1.2292316454530492 1.0620498826809808 1.2306597040376346 1.0474396798699672 1.2292316454530492 1.0620498826809808
040826 3 3 1.2290190053427268 1.0580129162681862 1.2317141808234737 1.0374323198010416 1.2290190053427268 1.0580129162681862
043826 3 3 1.232100641757731 1.056025359814886 1.2304400233263095 1.0378334272149914 1.232100641757731 1.056025359814886
050826 3 3 1.2246107231086665 1.0580914351556217 1.2303951374567532 1.036096336940318 1.2246107231086665 1.0580914351556217
053826 3 3 1.2291537748210564 1.061928431912948 1.2311043885490562 1.0472791240649713 1.2291537748210564 1.061928431912948
060826 3 3 1.228796607238698 1.0579227713670822 1.2313248858636143 1.0374331779206614 1.228796607238698 1.0579227713670822
063826 3 3 1.2286326298363708 1.057933882282294 1.2312993180796639 1.0365806194198512 1.2286326298363708 1.057933882282294
070826 3 3 1.2285558724435746 1.0577040948103733 1.2310677968757773 1.0377757284301197 1.2285558724435746 1.0577040948103733
073826 3 3 1.2290240310286837 1.0620706602256258 1.2319564485867431 1.0470337437399166 1.2290240310286837 1.0620706602256258
080826 3 3 1.228969205876524 1.0619517920968264 1.2317267388200435 1.0469946462167172 1.228969205876524 1.0619517920968264
083826 3 3 1.288004486893044 1.0423913282246176 1.2717321828282593 1.0374932444170781 1.288004486893044 1.0423913282246176
090826 3 3 1.2902262633594788 1.0396880447273915 1.279284541183074 1.0372710764399358 1.2902262633594788 1.0396880447273915
093826 3 3 1.2834771529628664 1.0657115516141389 1.2599293246432808 1.0377265723569735 1.2834771529628664 1.0657115516141389
100826 3 3 1.2878145863184898 1.0420522270232198 1.2711847405348635 1.03782430965731 1.2878145863184898 1.0420522270232198
103826 3 3 1.2876732740883128 1.0422735943870478 1.2715390144630874 1.0369803701133833 1.2876732740883128 1.0422735943870478
110826 3 3 1.2877679640002953 1.042079768308973 1.272028890426327 1.0371096781617553 1.2877679640002953 1.042079768308973
113826 3 3 1.283216446192154 1.0656780019718728 1.2583381017079773 1.0382140675405935 1.283216446192154 1.0656780019718728
120826 3 3 1.2882206352441514 1.0457340405458098 1.2761035259244409 1.0594332878605428 1.2882206352441514 1.0457340405458098
123826 3 3 1.2829302526372364 1.0660561063980367 1.2582604617948618 1.038918407318647 1.2829302526372364 1.0660561063980367
130826 3 3 1.2832934091598565 1.0662748275987843 1.258646380376149 1.0383650256093233 1.2832934091598565 1.0662748275987843
133826 3 3 1.287693556147346 1.042258855694513 1.271276910658571 1.0375613163406001 1.287693556147346 1.042258855694513
140826 3 3 1.287959682766413 1.0421455346880037 1.271685438611371 1.0382796483172 1.287959682766413 1.0421455346880037
143826 3 3 1.2834381291208488 1.06618140947272 1.2586504869368582 1.0373223823939952 1.2834381291208488 1.06618140947272
150826 3 3 1.2832924152807383 1.065536724328407 1.2600186233587465 1.0373809103157328 1.2832924152807383 1.065536724328407
153826 3 3 1.287530158675665 1.0419150111358348 1.2703904677630362 1.036122151448751 1.287530158675665 1.0419150111358348
160826 3 3 1.2831318209426654 1.0656533454031873 1.258482815407433 1.0370374275809127 1.2831318209426654 1.0656533454031873
