cadence medT medX medY
0 0.003967846122110826 2.0545004759151038 2.02640839576648
1 0.004339433688344808 2.0756697620456794 1.9948075035361035
2 0.00739662418138635 2.114676096813161 2.0134004882738616
3 0.0018410203241486602 2.102493831644439 2.007904423889181
4 0.025330561140528188 2.3821726044131144 1.925905752639404
5 -0.0022418958710860564 2.0324704215501734 2.004852233655602
6 0.012009920251752642 2.232141641607892 1.943249454339891
7 0.005316623936019228 2.1289926253372276 2.0149034035641518
8 -0.0018489388286424065 2.1780876598479626 2.0622945890298423
9 -0.00528623327257565 1.9509016184913506 2.002980215015128
10 0.08 2.4365737346243885 0.8470143587667683
11 0.017281068243371125 2.0431109900665256 1.9292517668127234
12 0.0004853362152913766 1.9639124477354633 1.9882322532943986
13 0.0026817615035579327 2.1168627821801222 2.061981260316801
14 0.00932710347239969 2.093612769784594 1.842199715655626
15 0.001225236080213465 2.006711393749544 2.0420158013124343
16 -0.016032817087502142 1.6931174026529174 1.90273887229387
17 -0.003550218730255074 1.971023226591524 2.0076800736912817
18 0.003247420792552505 2.0000260222625585 1.9624360759383004
19 0.020671368785330185 2.3826191341509264 2.2170644534634363
20 -0.0025795122963216182 1.995286239747594 2.051424608196865
21 0.007645615986499326 2.090022138978996 1.9735449271381722
22 0.005417439642726589 1.9708193390888218 1.9559727702877574
23 -0.00263533627203852 1.9650965867259687 2.0191557628372854
24 -0.0007176497993828946 1.8937316507705677 1.9086434781197998
25 0.0016213073168691197 1.979741041563681 1.9888768558791228
26 0.009235213838526041 2.0775384540490984 2.002000734004931
27 -0.0012231126028411996 1.952009187836692 1.9727659219065228
28 0.0016036294979909415 2.074767920483396 1.993376563887172
29 0.08 3.388374455715073 -4.888651983467327
30 -0.0008324318806485997 1.9563550563375407 1.9791225416348663
31 -0.001030476627908658 1.9561263433771667 1.9859547388672234
32 0.000714903524465544 1.9527846265456914 2.0188964270435346
33 -0.00692097237016984 2.142593317619117 2.0132257230938353
34 0.08 -5.0 -5.0
35 0.02650595507362803 2.3987203155999834 2.208537190659677
36 -0.015415785417845721 2.20752014617531 2.0718283314192765
37 0.013913158756641118 1.929463843892491 1.8473683296106247
38 -0.013829062641900643 2.264434612899643 1.998525808343133
39 -0.00627279935312714 1.9221355250806438 2.0043400556047595
40 -0.08 5.0 5.0
41 0.0025661017523240072 1.9220382198105581 1.993489356704904
42 0.0025887706895423 2.102179329527619 1.9728617285657546
43 0.004557740453442172 2.044443136291991 1.949159928606908
44 0.003909011594808777 2.0281055721816905 2.0264119989639666
45 -0.0015173708433163283 1.972463876119906 1.9587533871228238
46 0.0047952167159754705 2.1127818786592822 2.050841995245994
47 -0.0029973431972205467 1.9174844671497038 1.9634894989096532
48 0.03345989907628953 1.696782390323364 1.6203718835971228
49 0.007682757829530449 1.962772100504802 1.914451564336784
50 0.006824254079193125 2.0392960799088677 1.9967075226156237
51 -0.005036180403161899 1.8431968150009366 1.974565341007449
52 -0.08 0.5975102196890545 2.0400668923375975
53 -0.0020128242910326154 1.9872715179982765 2.0137818724573733
54 -0.006047083854196256 1.8405245336787774 2.1075060730725745
55 0.0013040386443903987 1.9136422195136003 1.946302165697085
56 0.00022730438782399376 1.9603796968130442 1.9977133077363591
57 0.02678887972977044 2.359508862129938 1.9278672948766036
58 -0.0023185957186287968 1.842223013006975 1.9571619333123425
59 0.002170417737999547 1.8912117605039016 1.943771241346327
60 0.05140597731644667 2.6721981050850605 1.886518739089443
61 -0.02281160324323913 1.823561819372188 2.6423056061174095
62 0.0025277930510715866 1.9573605825987346 1.9747402171103268
63 0.004427498232121872 1.9465415310213015 1.95779782610806
64 0.01479649863833591 2.3389679368151044 1.8571368240780335
65 -0.009677489414130729 3.926788248495817 1.2929707718814931
66 0.002465501719104907 2.055260346164348 2.0015435752319397
